StudentID,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,NumAbvYear9,NumAbvDiploma,NumProf,Year_02,At_Risk_Numeracy
384710734,16,18,25,25,30,32,20,49,4,5,2,2,2,4,2,2,5.493150685,Male,1,0,0,0,0,0,3,3,104,104,2,1,2,2020,FALSE
504699264,8,12,17,19,18,21,40,37,2,1,1,1,2,3,0,2,5.775342466,Female,1,0,0,0,0,0,2,2,112,112,2,2,2,2018,FALSE
332227462,8,12,18,18,23,22,6,30,2,1,1,2,2,1,2,1,5.923287671,Male,1,0,0,0,0,0,2,2,120,109,2,0,0,2021,FALSE
245262793,11,16,25,27,26,31,41,30,2,3,1,2,1,5,2,2,5.695890411,Male,1,0,0,0,0,0,2,1,95,93,0,0,0,2021,FALSE
331173944,9,12,17,21,24,26,26,32,2,4,2,2,2,4,1,1,5.764383562,Male,1,0,0,0,0,0,1,1,98,98,2,0,0,2021,FALSE
421122211,12,11,21,25,28,28,39,40,2,4,2,2,1,2,1,3,5.282191781,Female,1,0,0,0,0,0,4,3,104,104,0,0,0,2016,FALSE
584095695,13,18,24,25,25,30,13,51,2,2,1,1,0,2,0,2,5.131506849,Male,1,0,0,0,0,0,2,1,110,110,2,2,2,2020,FALSE
580119959,2,12,15,16,11,22,12,28,0,0,1,1,1,1,0,1,5.575342466,Female,1,0,0,0,0,0,2,1,109,109,2,1,1,2020,FALSE
245820903,13,18,19,22,27,26,14,39,1,5,1,2,2,2,2,2,5.638356164,Female,1,0,0,0,0,0,1,1,120,120,0,0,0,2016,FALSE
578404719,3,12,20,21,23,28,9,16,0,3,1,1,1,1,1,1,4.887671233,Female,1,0,0,0,0,0,2,2,107,107,2,2,0,2020,TRUE
463358048,9,12,21,25,28,30,34,34,1,3,1,1,1,2,2,2,4.756164384,Male,1,0,0,0,0,0,2,2,116,116,2,2,2,2017,FALSE
871034285,10,16,21,24,22,30,23,37,3,5,1,2,2,4,0,2,5.361643836,Male,1,0,0,0,0,0,2,2,120,120,1,1,1,2018,FALSE
414353727,6,15,16,18,24,24,10,14,0,2,1,1,0,1,0,2,5.123287671,Female,1,0,0,0,0,0,4,4,98,98,1,0,0,2018,FALSE
981278507,17,16,19,24,28,27,14,35,1,1,1,1,1,0,1,1,4.95890411,Female,1,0,0,0,0,0,2,1,109,109,1,0,1,2018,TRUE
379738362,14,15,19,19,21,29,7,34,2,2,1,1,1,1,0,0,4.863013699,Female,1,0,0,0,0,0,2,2,90,90,0,0,0,2018,TRUE
653714012,10,12,21,20,26,30,15,34,2,1,1,1,1,2,1,1,5.043835616,Female,0,0,1,0,0,0,6,6,91,91,2,0,0,2020,FALSE
767025160,0,6,11,13,15,23,5,1,0,1,0,1,0,2,0,2,5.243835616,Female,0,1,0,0,0,0,6,5,89,89,1,0,0,2018,TRUE
624969441,9,12,16,16,20,25,11,39,1,2,1,3,1,3,2,2,4.978082192,Male,0,1,0,0,0,0,3,2,102,102,2,1,1,2020,FALSE
810761451,14,16,17,20,22,26,30,26,2,3,1,1,2,2,2,2,5.454794521,Female,1,0,0,0,0,0,3,1,92,92,2,0,2,2018,TRUE
754847017,9,14,21,23,26,29,14,15,0,3,1,2,1,2,0,2,5.312328767,Male,0,1,0,0,0,1,2,2,108,108,2,0,1,2020,TRUE
987195458,6,11,18,20,18,21,5,20,0,0,1,1,1,1,0,1,4.835616438,Female,0,1,0,0,0,0,4,2,95,95,1,0,0,2018,TRUE
545134578,10,8,19,23,22,24,7,24,2,4,1,2,2,2,0,2,5.802739726,Male,0,0,0,0,1,0,1,1,97,97,0,0,0,2017,FALSE
