StudentID,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,NumAbvYear9,NumAbvDiploma,NumProf,Year_02,At_Risk_Numeracy
384710734,16,18,25,25,30,32,20,49,4,5,2,2,2,4,2,2,5.493150685,1,1,0,0,0,0,0,3,3,104,104,2,1,2,2020,False
504699264,8,12,17,19,18,21,40,37,2,1,1,1,2,3,0,2,5.775342466,0,1,0,0,0,0,0,2,2,112,112,2,2,2,2018,False
332227462,8,12,18,18,23,22,6,30,2,1,1,2,2,1,2,1,5.923287671,1,1,0,0,0,0,0,2,2,120,109,2,0,0,2021,False
245262793,11,16,25,27,26,31,41,30,2,3,1,2,1,5,2,2,5.695890411,1,1,0,0,0,0,0,2,1,95,93,0,0,0,2021,False
331173944,9,12,17,21,24,26,26,32,2,4,2,2,2,4,1,1,5.764383562,1,1,0,0,0,0,0,1,1,98,98,2,0,0,2021,False
421122211,12,11,21,25,28,28,39,40,2,4,2,2,1,2,1,3,5.282191781,0,1,0,0,0,0,0,4,3,104,104,0,0,0,2016,False
584095695,13,18,24,25,25,30,13,51,2,2,1,1,0,2,0,2,5.131506849,1,1,0,0,0,0,0,2,1,110,110,2,2,2,2020,False
580119959,2,12,15,16,11,22,12,28,0,0,1,1,1,1,0,1,5.575342466,0,1,0,0,0,0,0,2,1,109,109,2,1,1,2020,False
245820903,13,18,19,22,27,26,14,39,1,5,1,2,2,2,2,2,5.638356164,0,1,0,0,0,0,0,1,1,120,120,0,0,0,2016,False
578404719,3,12,20,21,23,28,9,16,0,3,1,1,1,1,1,1,4.887671233,0,1,0,0,0,0,0,2,2,107,107,2,2,0,2020,True
