StudentID,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Year_02,At_Risk_Numeracy
384710734,16,18,25,16,18,25,20,49,4,5,2,2,2,4,2,2,2020,False
504699264,8,12,17,8,12,17,40,37,2,1,1,1,2,3,0,2,2018,False
332227462,8,12,18,8,12,18,6,30,2,1,1,2,2,1,2,1,2021,False
245262793,11,16,25,11,16,25,41,30,2,3,1,2,1,5,2,2,2021,False
331173944,9,12,17,9,12,17,26,32,2,4,2,2,2,4,1,1,2021,False
421122211,12,11,21,12,11,21,39,40,2,4,2,2,1,2,1,3,2016,False
584095695,13,18,24,13,18,24,13,51,2,2,1,1,0,2,0,2,2020,False
580119959,2,12,15,2,12,15,12,28,0,0,1,1,1,1,0,1,2020,False
245820903,13,18,19,13,18,19,14,39,1,5,1,2,2,2,2,2,2016,False
578404719,3,12,20,3,12,20,9,16,0,3,1,1,1,1,1,1,2020,True
463358048,9,12,21,9,12,21,34,34,1,3,1,1,1,2,2,2,2017,False
871034285,10,16,21,10,16,21,23,37,3,5,1,2,2,4,0,2,2018,False
414353727,6,15,16,6,15,16,10,14,0,2,1,1,0,1,0,2,2018,False
981278507,17,16,19,17,16,19,14,35,1,1,1,1,1,0,1,1,2018,True
379738362,14,15,19,14,15,19,7,34,2,2,1,1,1,1,0,0,2018,True
653714012,10,12,21,10,12,21,15,34,2,1,1,1,1,2,1,1,2020,False
767025160,0,6,11,0,6,11,5,1,0,1,0,1,0,2,0,2,2018,True
624969441,9,12,16,9,12,16,11,39,1,2,1,3,1,3,2,2,2020,False
810761451,14,16,17,14,16,17,30,26,2,3,1,1,2,2,2,2,2018,True
754847017,9,14,21,9,14,21,14,15,0,3,1,2,1,2,0,2,2020,True
987195458,6,11,18,6,11,18,5,20,0,0,1,1,1,1,0,1,2018,True
545134578,10,8,19,10,8,19,7,24,2,4,1,2,2,2,0,2,2017,False
636897735,14,21,26,14,21,26,28,35,2,4,1,2,2,2,0,3,2016,False
511181209,5,17,24,5,17,24,44,43,2,2,1,2,1,2,1,2,2021,False
523965010,3,12,14,3,12,14,10,29,1,1,1,1,0,2,0,2,2017,True
586512441,8,14,18,8,14,18,23,29,1,1,0,1,1,1,0,1,2016,True
206759260,11,15,23,11,15,23,25,30,0,3,1,2,1,3,1,2,2018,False
751916195,7,12,19,7,12,19,2,21,1,2,1,1,2,2,2,2,2017,True
113954834,2,10,16,2,10,16,6,13,0,3,0,2,1,3,0,2,2020,False
481733363,7,12,19,7,12,19,19,32,0,4,1,2,1,3,0,2,2017,False
319711718,7,9,25,7,9,25,19,37,2,5,2,2,4,3,2,2,2020,False
172639103,19,18,23,19,18,23,27,34,2,3,1,2,2,2,2,2,2021,False
297094412,8,17,21,8,17,21,26,29,1,2,1,1,1,2,2,2,2017,False
241417732,9,15,18,9,15,18,26,21,3,2,1,1,2,1,1,2,2017,True
400286703,28,27,30,28,27,30,58,54,5,5,2,4,4,4,2,3,2020,False
