,StudentID,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,At_Risk_Numeracy
0,384710734,5.493150685,1,1,0,0,0,0,0,3,3,104,104,False
1,504699264,5.775342466,0,1,0,0,0,0,0,2,2,112,112,False
2,332227462,5.923287671,1,1,0,0,0,0,0,2,2,120,109,False
3,245262793,5.695890411,1,1,0,0,0,0,0,2,1,95,93,False
4,331173944,5.764383562,1,1,0,0,0,0,0,1,1,98,98,False
5,421122211,5.282191781,0,1,0,0,0,0,0,4,3,104,104,False
6,584095695,5.131506849,1,1,0,0,0,0,0,2,1,110,110,False
7,580119959,5.575342466,0,1,0,0,0,0,0,2,1,109,109,False
8,245820903,5.638356164,0,1,0,0,0,0,0,1,1,120,120,False
9,578404719,4.887671233,0,1,0,0,0,0,0,2,2,107,107,True
10,463358048,4.756164384,1,1,0,0,0,0,0,2,2,116,116,False
11,871034285,5.361643836,1,1,0,0,0,0,0,2,2,120,120,False
12,414353727,5.123287671,0,1,0,0,0,0,0,4,4,98,98,False
13,981278507,4.95890411,0,1,0,0,0,0,0,2,1,109,109,True
14,379738362,4.863013699,0,1,0,0,0,0,0,2,2,90,90,True
15,653714012,5.043835616,0,0,0,1,0,0,0,6,6,91,91,False
16,767025160,5.243835616,0,0,1,0,0,0,0,6,5,89,89,True
17,624969441,4.978082192,1,0,1,0,0,0,0,3,2,102,102,False
18,810761451,5.454794521,0,1,0,0,0,0,0,3,1,92,92,True
19,754847017,5.312328767,1,0,1,0,0,0,1,2,2,108,108,True
20,987195458,4.835616438,0,0,1,0,0,0,0,4,2,95,95,True
21,545134578,5.802739726,1,0,0,0,0,1,0,1,1,97,97,False
22,636897735,4.846575342,0,1,0,0,0,0,0,3,2,101,101,False
23,511181209,5.493150685,1,0,1,0,0,0,0,3,2,117,108,False
24,523965010,5.443835616,1,1,0,0,0,0,0,2,1,97,97,True
25,586512441,5.389041096,0,0,1,0,0,0,1,2,1,99,103,True
26,206759260,5.435616438,0,1,0,0,0,0,0,2,2,116,116,False
27,751916195,5.501369863,0,1,0,0,0,0,0,6,3,94,94,True
